numero_siafi;codigo_orgao;unidade_orcamentaria_nome;data_registro_doc_empenho;numero_empenho;ano_empenho;elemento_despesa_codigo;elemento_despesa_descricao;item_despesa_codigo;item_despesa_descricao;fonte_recurso_codigo;fonte_recurso_descricao;razao_social_credor;cnpj_cpf_credor_formatado;valor_pago_nao_processado;valor_pago_processado
3207;1451;SECRETARIA DE ESTADO DE JUSTICA E SEGURANCA PUBLICA;2017-01-18;67;2017;39;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA;21;REPAROS DE EQUIPAMENTOS, INSTALACOES E MATERIAL PERMANENTE;10;RECURSOS ORDINARIOS;KSM MANUTENCAO DE MAQUINAS E EQUIPAMENTOS LTDA -ME;11.319.926/0001-60;0,0;4200,0
3207;1451;SECRETARIA DE ESTADO DE JUSTICA E SEGURANCA PUBLICA;2017-01-18;79;2017;39;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA;21;REPAROS DE EQUIPAMENTOS, INSTALACOES E MATERIAL PERMANENTE;10;RECURSOS ORDINARIOS;KSM MANUTENCAO DE MAQUINAS E EQUIPAMENTOS LTDA -ME;11.319.926/0001-60;0,0;8105,77
3207;1451;SECRETARIA DE ESTADO DE JUSTICA E SEGURANCA PUBLICA;2017-01-18;83;2017;39;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA;21;REPAROS DE EQUIPAMENTOS, INSTALACOES E MATERIAL PERMANENTE;10;RECURSOS ORDINARIOS;KSM MANUTENCAO DE MAQUINAS E EQUIPAMENTOS LTDA -ME;11.319.926/0001-60;0,0;7536,77
3360;1451;SECRETARIA DE ESTADO DE JUSTICA E SEGURANCA PUBLICA;2017-01-24;74;2017;39;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA;20;LOCACAO DE BENS IMOVEIS;10;RECURSOS ORDINARIOS;3A EMPREENDIMENTOS IMOBILIARIOS LTDA;03.518.400/0001-81;0,0;4,0
3360;1451;SECRETARIA DE ESTADO DE JUSTICA E SEGURANCA PUBLICA;2021-01-25;15;2021;39;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA;20;LOCACAO DE BENS IMOVEIS;10;RECURSOS ORDINARIOS;3A EMPREENDIMENTOS IMOBILIARIOS LTDA;03.518.400/0001-81;120000,0;0,0
3459;2321;FUNDACAO CENTRO DE HEMATOLOGIA E HEMOTERAPIA DE MINAS GERAIS;2021-04-28;662;2021;39;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA;20;LOCACAO DE BENS IMOVEIS;10;RECURSOS ORDINARIOS;ADMINISTRADORA METROPOLE ADMINISTRACAO E CORRETAGEM DE IMOVEIS LTDA;17.510.009/0001-45;78179,34;0,0
4722;1511;POLICIA CIVIL DO ESTADO DE MINAS GERAIS;2015-06-11;6;2015;92;DESPESAS DE EXERCICIOS ANTERIORES;2;DESPESAS DE EXERCICIOS ANTERIORES - OUTRAS DESPESAS;25;OPERACOES DE CREDITO CONTRATUAIS;ENGERAIS CONSTRUCOES E INSTALACOES LTDA;03.606.659/0001-84;0,0;0,0
4768;1511;POLICIA CIVIL DO ESTADO DE MINAS GERAIS;2013-08-22;11;2013;51;OBRAS E INSTALACOES;1;ESTUDOS E PROJETOS DE BENS PATRIMONIAVEIS;25;OPERACOES DE CREDITO CONTRATUAIS;URBANA ARQUITETURA E PROJETOS LTDA;09.400.290/0001-35;0,0;0,0
4769;1191;SECRETARIA DE ESTADO DE FAZENDA;2021-01-22;53;2021;36;OUTROS SERVICOS DE TERCEIROS - PESSOA FISICA;11;LOCACAO DE BENS IMOVEIS;10;RECURSOS ORDINARIOS;ANTONIO BARTOLOMEU BARBOSA;021.569.626/34;1452,39;0,0
4779;1511;POLICIA CIVIL DO ESTADO DE MINAS GERAIS;2015-08-31;192;2015;39;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA;3;FORNECIMENTO DE ALIMENTACAO;27;TAXA DE SEGURANCA PUBLICA;CL RESTAURANTE DE EUGENOPOLIS LTDA;02.334.709/0001-59;0,0;0,0
4793;1511;POLICIA CIVIL DO ESTADO DE MINAS GERAIS;2021-02-22;8;2021;39;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA;20;LOCACAO DE BENS IMOVEIS;10;RECURSOS ORDINARIOS;ADIMOVEISBH - NEGOCIOS IMOBILIARIOS LTDA - EPP;38.737.425/0001-50;0,0;8022,18
4804;1511;POLICIA CIVIL DO ESTADO DE MINAS GERAIS;2021-10-20;7;2021;36;OUTROS SERVICOS DE TERCEIROS - PESSOA FISICA;11;LOCACAO DE BENS IMOVEIS;10;RECURSOS ORDINARIOS;MARIA CRISTINA CABRAL;441.877.266/91;2427,51;0,0
4841;1511;POLICIA CIVIL DO ESTADO DE MINAS GERAIS;2014-01-31;3;2014;30;MATERIAL DE CONSUMO;26;COMBUSTIVEIS E LUBRIFICANTES PARA VEICULOS AUTOMOTORES;27;TAXA DE SEGURANCA PUBLICA;POSTO XAMA EIRELI;25.236.589/0001-52;0,0;0,0
4844;1511;POLICIA CIVIL DO ESTADO DE MINAS GERAIS;2021-03-05;4;2021;39;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA;20;LOCACAO DE BENS IMOVEIS;10;RECURSOS ORDINARIOS;R & R PATRIMONIAL E PARTICIPACOES SOCIETARIAS LTDA;06.283.096/0001-29;34250,29;0,0
4854;1511;POLICIA CIVIL DO ESTADO DE MINAS GERAIS;2021-02-09;2;2021;36;OUTROS SERVICOS DE TERCEIROS - PESSOA FISICA;11;LOCACAO DE BENS IMOVEIS;10;RECURSOS ORDINARIOS;JOAO LUIZ FERREIRA DOS SANTOS;391.078.336/87;0,0;7016,67
4854;1511;POLICIA CIVIL DO ESTADO DE MINAS GERAIS;2021-12-27;7;2021;92;DESPESAS DE EXERCICIOS ANTERIORES;2;DESPESAS DE EXERCICIOS ANTERIORES - OUTRAS DESPESAS;10;RECURSOS ORDINARIOS;JOAO LUIZ FERREIRA DOS SANTOS;391.078.336/87;0,0;21050,01
4860;1511;POLICIA CIVIL DO ESTADO DE MINAS GERAIS;2021-02-01;1;2021;36;OUTROS SERVICOS DE TERCEIROS - PESSOA FISICA;11;LOCACAO DE BENS IMOVEIS;10;RECURSOS ORDINARIOS;SILVIA CONSOLACAO DOS SANTOS OLIVEIRA;704.242.506/59;4231,68;0,0
4876;1511;POLICIA CIVIL DO ESTADO DE MINAS GERAIS;2021-02-22;4;2021;39;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA;20;LOCACAO DE BENS IMOVEIS;10;RECURSOS ORDINARIOS;HOTEL LOPES LTDA -ME;41.850.843/0001-64;0,0;20003,39
4898;1511;POLICIA CIVIL DO ESTADO DE MINAS GERAIS;2021-02-15;3;2021;36;OUTROS SERVICOS DE TERCEIROS - PESSOA FISICA;11;LOCACAO DE BENS IMOVEIS;10;RECURSOS ORDINARIOS;MARIA DO ROSARIO GOMES FARIAS;834.156.706/78;1139,75;0,0
4899;1511;POLICIA CIVIL DO ESTADO DE MINAS GERAIS;2021-11-10;23;2021;36;OUTROS SERVICOS DE TERCEIROS - PESSOA FISICA;11;LOCACAO DE BENS IMOVEIS;10;RECURSOS ORDINARIOS;JOSE GIOVANNI DE ARAUJO ABREU;001.891.706/20;0,0;4916,66
4901;1511;POLICIA CIVIL DO ESTADO DE MINAS GERAIS;2021-11-16;9;2021;36;OUTROS SERVICOS DE TERCEIROS - PESSOA FISICA;11;LOCACAO DE BENS IMOVEIS;10;RECURSOS ORDINARIOS;LUCIO FIDELIS CAMPOS;274.911.106/49;3507,1;0,0
4901;1511;POLICIA CIVIL DO ESTADO DE MINAS GERAIS;2021-11-17;10;2021;36;OUTROS SERVICOS DE TERCEIROS - PESSOA FISICA;11;LOCACAO DE BENS IMOVEIS;10;RECURSOS ORDINARIOS;JOAO BOSCO TEIXEIRA CAMPOS;130.524.036/72;4148,99;0,0
4904;1511;POLICIA CIVIL DO ESTADO DE MINAS GERAIS;2021-12-07;8;2021;36;OUTROS SERVICOS DE TERCEIROS - PESSOA FISICA;11;LOCACAO DE BENS IMOVEIS;10;RECURSOS ORDINARIOS;ANA DEGE DO NASCIMENTO CHAGAS;310.325.246/34;0,0;1300,0
4929;1511;POLICIA CIVIL DO ESTADO DE MINAS GERAIS;2021-01-28;3;2021;36;OUTROS SERVICOS DE TERCEIROS - PESSOA FISICA;11;LOCACAO DE BENS IMOVEIS;10;RECURSOS ORDINARIOS;ULTIMO HOMEM DE FARIA MARTINS;042.900.226/26;1170,02;0,0
4930;1511;POLICIA CIVIL DO ESTADO DE MINAS GERAIS;2021-04-20;3;2021;36;OUTROS SERVICOS DE TERCEIROS - PESSOA FISICA;11;LOCACAO DE BENS IMOVEIS;10;RECURSOS ORDINARIOS;OTAVIO AMABILE MARTELETTO;138.023.996/68;0,0;2177,8
4931;1511;POLICIA CIVIL DO ESTADO DE MINAS GERAIS;2021-03-10;15;2021;39;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA;20;LOCACAO DE BENS IMOVEIS;10;RECURSOS ORDINARIOS;MARUM PATRUS PARTICIPACOES E EMPREENDIMENTOS LTDA;25.524.380/0001-94;0,0;7793,86
4935;1511;POLICIA CIVIL DO ESTADO DE MINAS GERAIS;2021-01-29;2;2021;39;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA;20;LOCACAO DE BENS IMOVEIS;10;RECURSOS ORDINARIOS;AGIR TRUZ AGROPECUARIA E COMERCIAL LTDA;18.402.693/0001-04;13694,65;0,0
4940;1511;POLICIA CIVIL DO ESTADO DE MINAS GERAIS;2015-06-10;4;2015;92;DESPESAS DE EXERCICIOS ANTERIORES;2;DESPESAS DE EXERCICIOS ANTERIORES - OUTRAS DESPESAS;25;OPERACOES DE CREDITO CONTRATUAIS;GRUPO - ARQUITETOS E URBANISTAS LTDA;09.492.173/0001-49;0,0;0,0
4942;1511;POLICIA CIVIL DO ESTADO DE MINAS GERAIS;2021-01-28;1;2021;36;OUTROS SERVICOS DE TERCEIROS - PESSOA FISICA;11;LOCACAO DE BENS IMOVEIS;10;RECURSOS ORDINARIOS;NILDA NEVES BERNARDINO;939.493.406/53;0,0;3253,29
4947;1511;POLICIA CIVIL DO ESTADO DE MINAS GERAIS;2021-02-22;3;2021;36;OUTROS SERVICOS DE TERCEIROS - PESSOA FISICA;11;LOCACAO DE BENS IMOVEIS;10;RECURSOS ORDINARIOS;ROBERTA ALESSANDRA RIBEIRO SILVA;735.489.286/68;0,0;3906,58
4949;1511;POLICIA CIVIL DO ESTADO DE MINAS GERAIS;2021-02-01;2;2021;36;OUTROS SERVICOS DE TERCEIROS - PESSOA FISICA;11;LOCACAO DE BENS IMOVEIS;10;RECURSOS ORDINARIOS;EMILIO GOMES FERNANDES;004.241.376/15;7336,01;0,0
4953;1511;POLICIA CIVIL DO ESTADO DE MINAS GERAIS;2021-12-30;7;2021;39;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA;20;LOCACAO DE BENS IMOVEIS;10;RECURSOS ORDINARIOS;GERAIS IMOBILIARIA LOCACAO E VENDA LTDA -ME;10.776.130/0001-74;27128,97;0,0
4957;1511;POLICIA CIVIL DO ESTADO DE MINAS GERAIS;2021-12-03;4;2021;36;OUTROS SERVICOS DE TERCEIROS - PESSOA FISICA;11;LOCACAO DE BENS IMOVEIS;10;RECURSOS ORDINARIOS;NILCE MARIA GONCALVES ALVES;493.415.456/68;0,0;2500,92
4966;1511;POLICIA CIVIL DO ESTADO DE MINAS GERAIS;2021-02-02;2;2021;39;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA;20;LOCACAO DE BENS IMOVEIS;10;RECURSOS ORDINARIOS;ELDA FERNANDES DOS SANTOS VERSIANI-ME;64.336.597/0001-22;4518,26;0,0
4980;1511;POLICIA CIVIL DO ESTADO DE MINAS GERAIS;2021-03-16;2;2021;39;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA;20;LOCACAO DE BENS IMOVEIS;10;RECURSOS ORDINARIOS;IMOBILIARIA ACEL LTDA -ME;03.193.066/0001-33;3349,35;0,0
4983;1511;POLICIA CIVIL DO ESTADO DE MINAS GERAIS;2021-04-27;3;2021;36;OUTROS SERVICOS DE TERCEIROS - PESSOA FISICA;11;LOCACAO DE BENS IMOVEIS;10;RECURSOS ORDINARIOS;WANDERLEY SOARES PEDROSA;162.839.536/20;21023,73;0,0
4984;1511;POLICIA CIVIL DO ESTADO DE MINAS GERAIS;2021-03-03;14;2021;36;OUTROS SERVICOS DE TERCEIROS - PESSOA FISICA;11;LOCACAO DE BENS IMOVEIS;10;RECURSOS ORDINARIOS;RAFAEL PERPETUO DE OLIVEIRA;132.410.876/20;0,0;4839,86
5004;1511;POLICIA CIVIL DO ESTADO DE MINAS GERAIS;2021-02-22;2;2021;36;OUTROS SERVICOS DE TERCEIROS - PESSOA FISICA;11;LOCACAO DE BENS IMOVEIS;10;RECURSOS ORDINARIOS;GIULIANO FERREIRA CAPUTO DE SOUZA;627.392.556/91;0,0;2372,91
5005;1511;POLICIA CIVIL DO ESTADO DE MINAS GERAIS;2021-02-15;3;2021;36;OUTROS SERVICOS DE TERCEIROS - PESSOA FISICA;11;LOCACAO DE BENS IMOVEIS;10;RECURSOS ORDINARIOS;MICHEL RENAN SIMAO CASTRO;752.395.586/04;0,0;5618,54
5021;1511;POLICIA CIVIL DO ESTADO DE MINAS GERAIS;2020-06-01;11;2020;36;OUTROS SERVICOS DE TERCEIROS - PESSOA FISICA;11;LOCACAO DE BENS IMOVEIS;10;RECURSOS ORDINARIOS;MILTON GERALDO DE OLIVEIRA;207.472.096/34;0,0;7070,5
5028;1511;POLICIA CIVIL DO ESTADO DE MINAS GERAIS;2021-04-20;2;2021;36;OUTROS SERVICOS DE TERCEIROS - PESSOA FISICA;11;LOCACAO DE BENS IMOVEIS;10;RECURSOS ORDINARIOS;ANTONIO JOSE DOS REIS;039.851.646/49;0,0;3266,5
5029;1511;POLICIA CIVIL DO ESTADO DE MINAS GERAIS;2021-05-27;7;2021;36;OUTROS SERVICOS DE TERCEIROS - PESSOA FISICA;11;LOCACAO DE BENS IMOVEIS;10;RECURSOS ORDINARIOS;LUIS EUGENIO DE ALMEIDA TRIANI;914.282.626/87;1649,03;0,0
5031;1511;POLICIA CIVIL DO ESTADO DE MINAS GERAIS;2021-03-23;5;2021;36;OUTROS SERVICOS DE TERCEIROS - PESSOA FISICA;11;LOCACAO DE BENS IMOVEIS;10;RECURSOS ORDINARIOS;NASSIME ABRAO MATUCK;049.229.137/34;0,0;5963,37
5039;1511;POLICIA CIVIL DO ESTADO DE MINAS GERAIS;2021-05-03;17;2021;36;OUTROS SERVICOS DE TERCEIROS - PESSOA FISICA;11;LOCACAO DE BENS IMOVEIS;10;RECURSOS ORDINARIOS;ERLANDE RODRIGUES DINIZ;739.419.806/53;0,0;4365,69
5045;1511;POLICIA CIVIL DO ESTADO DE MINAS GERAIS;2021-05-21;5;2021;36;OUTROS SERVICOS DE TERCEIROS - PESSOA FISICA;11;LOCACAO DE BENS IMOVEIS;10;RECURSOS ORDINARIOS;MARIA CARMEN SANTANA;578.779.396/04;1888,54;0,0
5046;1511;POLICIA CIVIL DO ESTADO DE MINAS GERAIS;2014-02-25;31;2014;39;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA;27;SERVICOS DE TECNOLOGIA DA INFORMACAO;25;OPERACOES DE CREDITO CONTRATUAIS;ETEG TECNOLOGIA DA INFORMACAO S/A;04.334.333/0001-08;0,0;0,0
5057;1511;POLICIA CIVIL DO ESTADO DE MINAS GERAIS;2021-04-28;6;2021;36;OUTROS SERVICOS DE TERCEIROS - PESSOA FISICA;11;LOCACAO DE BENS IMOVEIS;10;RECURSOS ORDINARIOS;VICENTE JACINTO DE OLIVEIRA;187.320.206/78;0,0;8323,86
5065;1511;POLICIA CIVIL DO ESTADO DE MINAS GERAIS;2014-03-19;33;2014;52;EQUIPAMENTOS E MATERIAL PERMANENTE;7;EQUIPAMENTOS DE INFORMATICA;25;OPERACOES DE CREDITO CONTRATUAIS;TECNOLOGIA DA INFORMACAO MULT SERVICES LTDA;08.208.206/0001-13;0,0;0,0
5097;1511;POLICIA CIVIL DO ESTADO DE MINAS GERAIS;2021-04-05;3;2021;39;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA;20;LOCACAO DE BENS IMOVEIS;10;RECURSOS ORDINARIOS;CONSTRUTORA GONTIJO E POEYS LTDA - EPP;00.580.641/0001-62;0,0;10231,62
5098;1511;POLICIA CIVIL DO ESTADO DE MINAS GERAIS;2021-06-18;4;2021;36;OUTROS SERVICOS DE TERCEIROS - PESSOA FISICA;11;LOCACAO DE BENS IMOVEIS;10;RECURSOS ORDINARIOS;ANSELMO CHAVES DA FONSECA;558.260.326/34;0,0;7210,66
5110;1511;POLICIA CIVIL DO ESTADO DE MINAS GERAIS;2021-05-04;18;2021;36;OUTROS SERVICOS DE TERCEIROS - PESSOA FISICA;11;LOCACAO DE BENS IMOVEIS;10;RECURSOS ORDINARIOS;MARIA DAS DORES MARES;520.669.086/49;0,0;5852,87
5113;1511;POLICIA CIVIL DO ESTADO DE MINAS GERAIS;2021-03-17;3;2021;39;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA;20;LOCACAO DE BENS IMOVEIS;10;RECURSOS ORDINARIOS;IMOBILIARIA ACEL LTDA -ME;03.193.066/0001-33;4929,39;0,0
5134;1511;POLICIA CIVIL DO ESTADO DE MINAS GERAIS;2021-02-08;2;2021;36;OUTROS SERVICOS DE TERCEIROS - PESSOA FISICA;11;LOCACAO DE BENS IMOVEIS;10;RECURSOS ORDINARIOS;BALTAZAR MOREIRA LAGARES;183.097.206/53;0,0;22691,51
5135;1511;POLICIA CIVIL DO ESTADO DE MINAS GERAIS;2021-07-23;8;2021;36;OUTROS SERVICOS DE TERCEIROS - PESSOA FISICA;11;LOCACAO DE BENS IMOVEIS;10;RECURSOS ORDINARIOS;CLAUDIA MENEZES DE ASSIS;734.333.496/49;8297,93;0,0
5157;1511;POLICIA CIVIL DO ESTADO DE MINAS GERAIS;2021-03-10;4;2021;36;OUTROS SERVICOS DE TERCEIROS - PESSOA FISICA;11;LOCACAO DE BENS IMOVEIS;10;RECURSOS ORDINARIOS;HAMILTON HERMINIO AFONSO;127.436.666/68;4422,95;0,0
5160;1511;POLICIA CIVIL DO ESTADO DE MINAS GERAIS;2021-02-10;2;2021;36;OUTROS SERVICOS DE TERCEIROS - PESSOA FISICA;11;LOCACAO DE BENS IMOVEIS;10;RECURSOS ORDINARIOS;OLGA MAGALHAES NETO;707.877.436/15;9801,12;0,0
5162;1511;POLICIA CIVIL DO ESTADO DE MINAS GERAIS;2021-05-03;5;2021;36;OUTROS SERVICOS DE TERCEIROS - PESSOA FISICA;11;LOCACAO DE BENS IMOVEIS;10;RECURSOS ORDINARIOS;SABINA VILAR BISCAIA DE PAULA;285.781.806/82;4930,16;0,0
5163;1511;POLICIA CIVIL DO ESTADO DE MINAS GERAIS;2021-06-17;5;2021;36;OUTROS SERVICOS DE TERCEIROS - PESSOA FISICA;11;LOCACAO DE BENS IMOVEIS;10;RECURSOS ORDINARIOS;TERCIO MATILDES DA SILVA;755.939.396/91;0,0;8492,05
5174;1511;POLICIA CIVIL DO ESTADO DE MINAS GERAIS;2021-06-16;10;2021;36;OUTROS SERVICOS DE TERCEIROS - PESSOA FISICA;11;LOCACAO DE BENS IMOVEIS;10;RECURSOS ORDINARIOS;CARLA TEREZA DE OLIVEIRA;065.130.326/52;871,56;0,0
5174;1511;POLICIA CIVIL DO ESTADO DE MINAS GERAIS;2021-12-23;16;2021;92;DESPESAS DE EXERCICIOS ANTERIORES;2;DESPESAS DE EXERCICIOS ANTERIORES - OUTRAS DESPESAS;10;RECURSOS ORDINARIOS;CARLA TEREZA DE OLIVEIRA;065.130.326/52;6998,6;0,0
5188;1191;SECRETARIA DE ESTADO DE FAZENDA;2021-01-26;70;2021;36;OUTROS SERVICOS DE TERCEIROS - PESSOA FISICA;11;LOCACAO DE BENS IMOVEIS;10;RECURSOS ORDINARIOS;ALCEBIADES BARBOSA DA FONSECA;068.476.336/20;0,0;10236,86
5189;1511;POLICIA CIVIL DO ESTADO DE MINAS GERAIS;2021-02-16;2;2021;36;OUTROS SERVICOS DE TERCEIROS - PESSOA FISICA;11;LOCACAO DE BENS IMOVEIS;10;RECURSOS ORDINARIOS;SARAH MARIA SALDANHA NUNES;389.761.966/00;1277,66;0,0
5212;1511;POLICIA CIVIL DO ESTADO DE MINAS GERAIS;2021-06-28;10;2021;36;OUTROS SERVICOS DE TERCEIROS - PESSOA FISICA;11;LOCACAO DE BENS IMOVEIS;10;RECURSOS ORDINARIOS;ANTONIA DALVA DE SANTANA ISAIAS;218.380.706/72;4824,92;0,0
5224;1511;POLICIA CIVIL DO ESTADO DE MINAS GERAIS;2021-01-28;2;2021;39;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA;20;LOCACAO DE BENS IMOVEIS;10;RECURSOS ORDINARIOS;M & M CONSULTORIA MERCADOLOGICA LTDA;07.320.887/0001-44;0,0;25263,93
5225;1511;POLICIA CIVIL DO ESTADO DE MINAS GERAIS;2021-01-29;2;2021;36;OUTROS SERVICOS DE TERCEIROS - PESSOA FISICA;11;LOCACAO DE BENS IMOVEIS;10;RECURSOS ORDINARIOS;CLAUDIO JOSE DE OLIVEIRA;711.392.226/00;2972,21;0,0
5229;1511;POLICIA CIVIL DO ESTADO DE MINAS GERAIS;2021-03-17;4;2021;36;OUTROS SERVICOS DE TERCEIROS - PESSOA FISICA;11;LOCACAO DE BENS IMOVEIS;10;RECURSOS ORDINARIOS;SINEVALDO PEREIRA DE SOUZA;552.400.206/63;2084,88;0,0
5235;1511;POLICIA CIVIL DO ESTADO DE MINAS GERAIS;2021-01-28;1;2021;36;OUTROS SERVICOS DE TERCEIROS - PESSOA FISICA;11;LOCACAO DE BENS IMOVEIS;10;RECURSOS ORDINARIOS;JOSE LUIZ FEICHAS;171.658.066/87;9007,27;0,0
5242;1511;POLICIA CIVIL DO ESTADO DE MINAS GERAIS;2021-08-03;19;2021;36;OUTROS SERVICOS DE TERCEIROS - PESSOA FISICA;11;LOCACAO DE BENS IMOVEIS;10;RECURSOS ORDINARIOS;EMILIA HELENA AGUAS DE OLIVEIRA;522.757.106/63;0,0;12867,62
5291;1511;POLICIA CIVIL DO ESTADO DE MINAS GERAIS;2021-08-18;4;2021;39;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA;20;LOCACAO DE BENS IMOVEIS;10;RECURSOS ORDINARIOS;DINAMICA ADMINISTRADORA DE IMOVEIS E SERVICOS LTDA;05.002.545/0001-50;4242,9;0,0
5293;1511;POLICIA CIVIL DO ESTADO DE MINAS GERAIS;2021-02-12;3;2021;36;OUTROS SERVICOS DE TERCEIROS - PESSOA FISICA;11;LOCACAO DE BENS IMOVEIS;10;RECURSOS ORDINARIOS;PEDRO RODRIGUES ALVARES;107.730.376/91;0,0;1730,97
5300;1511;POLICIA CIVIL DO ESTADO DE MINAS GERAIS;2021-08-25;11;2021;39;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA;20;LOCACAO DE BENS IMOVEIS;10;RECURSOS ORDINARIOS;LINDER IMOVEIS LTDA;04.044.881/0001-01;7192,56;0,0
5312;1511;POLICIA CIVIL DO ESTADO DE MINAS GERAIS;2021-01-28;4;2021;39;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA;20;LOCACAO DE BENS IMOVEIS;10;RECURSOS ORDINARIOS;BIC ADMINISTRACAO PATRIMONIAL LTDA;26.140.830/0001-08;11671,07;0,0
5321;1511;POLICIA CIVIL DO ESTADO DE MINAS GERAIS;2021-10-18;1;2021;39;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA;20;LOCACAO DE BENS IMOVEIS;82;NOTIFICACAO DE INFRACAO DE TRANSITO ESTADO;FEDERACAO DOS EMPREGADOS ESTAB BANC ESTADOS MG/GO/TO/DF;17.364.803/0001-28;47957,62;0,0
